"","storm_number","storm_name","typea","datesb_utc","max_winds_kt","min_pressure_mb","accumulated_cyclone_energyc_x104_kt2","direct_deathsd","u_s_damagee_million","tropical_cyclone_report_status","year","basin","source"
"84",4,"Cindy","TS","14 Aug–17 Aug",40,1007,1.1,NA,NA,NA,1993,"Atlantic","https://www.nhc.noaa.gov/data/tcr/index.php?season=1993&basin=atl"
"85",5,"Emily","MH","22 Aug–06 Sep",100,960,22.1,NA,NA,NA,1993,"Atlantic","https://www.nhc.noaa.gov/data/tcr/index.php?season=1993&basin=atl"
"86",6,"Dennis","TS","23 Aug–28 Aug",45,1000,2.1,NA,NA,NA,1993,"Atlantic","https://www.nhc.noaa.gov/data/tcr/index.php?season=1993&basin=atl"
"87",7,"Floyd","HU","07 Sep–10 Sep",65,990,3.1,NA,NA,NA,1993,"Atlantic","https://www.nhc.noaa.gov/data/tcr/index.php?season=1993&basin=atl"
"88",8,"Gert","HU","14 Sep–21 Sep",85,970,3.8,NA,NA,NA,1993,"Atlantic","https://www.nhc.noaa.gov/data/tcr/index.php?season=1993&basin=atl"
"89",9,"Harvey","HU","18 Sep–21 Sep",65,990,1.7,NA,NA,NA,1993,"Atlantic","https://www.nhc.noaa.gov/data/tcr/index.php?season=1993&basin=atl"
"90",10,"Unnamed","TD","29 Sep–30 Sep",30,NA,0,NA,NA,NA,1993,"Atlantic","https://www.nhc.noaa.gov/data/tcr/index.php?season=1993&basin=atl"
"91",1,"Adrian","HU","11 Jun–19 Jun",75,979,6.1,NA,NA,NA,1993,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=1993&basin=epac"
"92",2,"Beatriz","TS","18 Jun–20 Jun",55,995,1.2,NA,NA,NA,1993,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=1993&basin=epac"
"93",3,"Unnamed","TD","27 Jun–02 Jul",30,NA,0,NA,NA,NA,1993,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=1993&basin=epac"
"94",4,"Calvin","HU","04 Jul–09 Jul",95,966,7.6,NA,NA,NA,1993,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=1993&basin=epac"
"95",5,"Dora","MH","14 Jul–20 Jul",115,945,13.2,NA,NA,NA,1993,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=1993&basin=epac"
"96",6,"Eugene","MH","15 Jul–25 Jul",110,948,19.4,NA,NA,NA,1993,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=1993&basin=epac"
"97",7,"Fernanda","MH","09 Aug–19 Aug",125,934,18.2,NA,NA,NA,1993,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=1993&basin=epac"
"98",8,"Greg","MH","15 Aug–28 Aug",115,948,32.3,NA,NA,NA,1993,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=1993&basin=epac"
